fecha,capa1,capa2,capa3,iep_total,pesos_version,capa1_adj,capa2_adj,capa3_adj,iep_ajustado
2008-11-25,,,,,incompleta-v4,,,,
2008-11-26,,,,,incompleta-v4,,,,
2008-11-28,,,,,incompleta-v4,,,,
2008-12-01,,,,,incompleta-v4,,,,
2008-12-02,,,,,incompleta-v4,,,,
2008-12-03,,,,,incompleta-v4,,,,
2008-12-04,,,,,incompleta-v4,,,,
2008-12-05,,,,,incompleta-v4,,,,
2008-12-08,,,,,incompleta-v4,,,,
2008-12-09,,,,,incompleta-v4,,,,
2008-12-10,,,,,incompleta-v4,,,,
2008-12-11,,,,,incompleta-v4,,,,
2008-12-12,,,,,incompleta-v4,,,,
2008-12-15,,,,,incompleta-v4,,,,
2008-12-16,,,,,incompleta-v4,,,,
2008-12-17,,,,,incompleta-v4,,,,
2008-12-18,,,,,incompleta-v4,,,,
2008-12-19,,,,,incompleta-v4,,,,
2008-12-22,,,,,incompleta-v4,,,,
2008-12-23,,,,,incompleta-v4,,,,
2008-12-24,,,,,incompleta-v4,,,,
2008-12-26,,,,,incompleta-v4,,,,
2008-12-29,,,,,incompleta-v4,,,,
2008-12-30,,,,,incompleta-v4,,,,
2008-12-31,,,,,incompleta-v4,,,,
2009-01-02,,,,,incompleta-v4,,,,
2009-01-05,,,,,incompleta-v4,,,,
2009-01-06,,,,,incompleta-v4,,,,
2009-01-07,,,,,incompleta-v4,,,,
2009-01-08,,,,,incompleta-v4,,,,
2009-01-09,,,,,incompleta-v4,,,,
2009-01-12,,,,,incompleta-v4,,,,
2009-01-13,,,,,incompleta-v4,,,,
2009-01-14,,,,,incompleta-v4,,,,
2009-01-15,,,,,incompleta-v4,,,,
2009-01-16,,,,,incompleta-v4,,,,
2009-01-19,,,,,incompleta-v4,,,,
2009-01-20,,,,,incompleta-v4,,,,
2009-01-21,,,,,incompleta-v4,,,,
2009-01-22,,,,,incompleta-v4,,,,
2009-01-23,,,,,incompleta-v4,,,,
2009-01-26,,,,,incompleta-v4,,,,
2009-01-27,,,,,incompleta-v4,,,,
2009-01-28,,,,,incompleta-v4,,,,
2009-01-29,,,,,incompleta-v4,,,,
2009-01-30,,,,,incompleta-v4,,,,
2009-02-02,,,,,incompleta-v4,,,,
2009-02-03,,,,,incompleta-v4,,,,
2009-02-04,,,,,incompleta-v4,,,,
2009-02-05,,,,,incompleta-v4,,,,
2009-02-06,,,,,incompleta-v4,,,,
